 Timestamp	SBPMU.SLPO_  	SBPMU.STPCLKO_  	SBPMU.CPUSTPO_  	SBPMU.NAP  	SBPMU.THRMTRIPI_  	SBPMU.THRM_ZI  	SBPMU.CPU2SB_PBEB  	vkActCVID_N[7:0]  	vkActRatio_N[7:0]  	Sample   
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      160
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      161
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      162
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      163
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      164
 91.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      165
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      166
 30.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      167
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      168
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      169
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      170
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      171
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      172
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      173
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      174
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      175
 27.500 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      176
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      177
 90.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      178
 30.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      179
 30.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      180
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      181
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      182
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      183
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      184
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      185
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      186
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      187
 90.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      188
 30.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      189
 30.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      190
 30.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      191
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      192
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      193
 30.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      194
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      195
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      196
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      197
 90.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      198
 60.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      199
 30.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      200
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      201
 58.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      202
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      203
571.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      204
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      205
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      206
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      207
 90.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      208
120.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      209
 30.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      210
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      211
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      212
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      213
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      214
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      215
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      216
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      217
 90.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      218
 30.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      219
 30.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      220
 30.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      221
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      222
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      223
 30.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      224
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      225
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      226
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      227
 90.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      228
 30.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      229
 30.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      230
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      231
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      232
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      233
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      234
 30.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      235
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      236
 90.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      237
 30.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      238
 30.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      239
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      240
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      241
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      242
 27.500 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      243
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      244
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      245
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      246
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      247
 27.500 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      248
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      249
 91.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      250
 30.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      251
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      252
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      253
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      254
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      255
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      256
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      257
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      258
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      259
 90.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      260
 30.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      261
 30.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      262
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      263
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      264
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      265
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      266
 30.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      267
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      268
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      269
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      270
 90.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      271
 60.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      272
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      273
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      274
 60.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      275
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      276
450.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      277
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      278
 30.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      279
 90.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      280
120.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      281
 30.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      282
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      283
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      284
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      285
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      286
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      287
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      288
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      289
 90.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      290
 30.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      291
 30.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      292
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      293
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      294
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      295
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      296
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      297
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      298
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      299
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      300
 91.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      301
 30.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      302
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      303
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      304
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      305
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      306
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      307
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      308
 30.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      309
 90.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      310
 30.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      311
 30.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      312
 30.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      313
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      314
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      315
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      316
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      317
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      318
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      319
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      320
 90.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      321
 30.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      322
 30.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      323
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      324
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      325
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      326
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      327
 30.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      328
 90.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      329
 60.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      330
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      331
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      332
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      333
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      334
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      335
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      336
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      337
<85 000 us	0              	1            	1               	1               	1          	1                 	1                  	72                	3C                 	      338
<32 500 us	0              	1            	1               	1               	1          	1                 	1                  	72                	3C                 	      339
  1.250 ns	0              	1            	1               	1               	1          	1                 	1                  	72                	3C                 	      340
 30.000 ns	0              	1            	1               	1               	1          	1                 	1                  	72                	3C                 	      341
  1.250 ns	0              	1            	1               	1               	1          	1                 	1                  	72                	3C                 	      342
  6.250 ns	0              	1            	1               	1               	1          	1                 	1                  	72                	3C                 	      343
 23.750 ns	0              	1            	1               	1               	1          	1                 	1                  	72                	3C                 	      344
120.000 ns	0              	1            	1               	1               	1          	1                 	1                  	72                	3C                 	      345
 28.750 ns	0              	1            	1               	1               	1          	1                 	1                  	72                	3C                 	      346
  1.250 ns	0              	1            	1               	1               	1          	1                 	1                  	72                	3C                 	      347
 15.000 ns	0              	1            	1               	1               	1          	1                 	1                  	72                	3C                 	      348
 15.000 ns	0              	1            	1               	1               	1          	1                 	1                  	72                	3C                 	      349
 28.750 ns	0              	1            	1               	1               	1          	1                 	1                  	72                	3C                 	      350
  1.250 ns	0              	1            	1               	1               	1          	1                 	1                  	72                	3C                 	      351
  1.250 ns	0              	1            	1               	1               	1          	1                 	1                  	72                	3C                 	      352
<11 250 us	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      353
417.500 ns	0              	1            	1               	1               	1          	1                 	1                  	72                	3C                 	      354
<46 250 us	0              	1            	1               	1               	1          	1                 	1                  	72                	3C                 	      355
  1.250 ns	0              	1            	1               	1               	1          	1                 	1                  	72                	3C                 	      356
 28.750 ns	0              	1            	1               	1               	1          	1                 	1                  	72                	3C                 	      357
  1.250 ns	0              	1            	1               	1               	1          	1                 	1                  	72                	3C                 	      358
  1.250 ns	0              	1            	1               	1               	1          	1                 	1                  	72                	3C                 	      359
 28.750 ns	0              	1            	1               	1               	1          	1                 	1                  	72                	3C                 	      360
120.000 ns	0              	1            	1               	1               	1          	1                 	1                  	72                	3C                 	      361
 30.000 ns	0              	1            	1               	1               	1          	1                 	1                  	72                	3C                 	      362
 15.000 ns	0              	1            	1               	1               	1          	1                 	1                  	72                	3C                 	      363
 15.000 ns	0              	1            	1               	1               	1          	1                 	1                  	72                	3C                 	      364
 30.000 ns	0              	1            	1               	1               	1          	1                 	1                  	72                	3C                 	      365
  1.250 ns	0              	1            	1               	1               	1          	1                 	1                  	72                	3C                 	      366
<68 750 us	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      367
<37 500 us	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      368
 30.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      369
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      370
  6.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      371
 23.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      372
118.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      373
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      374
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      375
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      376
 13.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      377
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      378
 13.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      379
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      380
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      381
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      382
268.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      383
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      384
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      385
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      386
  6.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      387
 23.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      388
120.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      389
 30.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      390
 15.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      391
 13.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      392
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      393
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      394
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      395
508.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      396
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      397
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      398
 27.500 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      399
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      400
  7.500 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      401
 82.500 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      402
120.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      403
 30.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      404
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      405
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      406
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      407
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      408
 30.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      409
 91.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      410
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      411
 30.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      412
 30.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      413
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      414
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	      415
