 Timestamp	SBPMU.SLPO_  	SBPMU.STPCLKO_  	SBPMU.CPUSTPO_  	SBPMU.NAP  	SBPMU.THRMTRIPI_  	SBPMU.THRM_ZI  	SBPMU.CPU2SB_PBEB  	vkActCVID_N[7:0]  	vkActRatio_N[7:0]  	Sample   
  1.250 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       72
 28.750 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       73
  1.250 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       74
  6.250 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       75
  1.250 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       76
 22.500 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       77
120.000 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       78
 30.000 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       79
 15.000 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       80
  1.250 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       81
 13.750 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       82
  1.250 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       83
 28.750 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       84
  1.250 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       85
 88.750 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       86
  1.250 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       87
 28.750 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       88
  1.250 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       89
 30.000 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       90
120.000 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       91
 30.000 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       92
 15.000 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       93
  1.250 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       94
 13.750 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       95
  1.250 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       96
 28.750 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       97
  1.250 ns	1            	1               	1               	1          	1                 	1              	0                  	8C                	40                 	       98
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	8C                	40                 	 33554428
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	8C                	40                 	 33554429
<15 000 us	0              	1            	1               	1               	1          	1                 	0                  	8C                	40                 	 33554430
<37 500 us	0              	1            	1               	1               	1          	1                 	0                  	8C                	40                 	 33554431
 Timestamp	SBPMU.DPSLPVR  	SBPMU.SLPO_  	SBPMU.STPCLKO_  	SBPMU.CPUSTPO_  	SBPMU.NAP  	SBPMU.THRMTRIPI_  	SBPMU.CPU2SB_PBEB  	vkActCVID_N[7:0]  	vkActRatio_N[7:0]  	Sample   
      0 ps	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	        0
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	        1
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	        2
 30.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	        3
 90.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	        4
 30.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	        5
 30.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	        6
 30.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	        7
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	        8
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	        9
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       10
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       11
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       12
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       13
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       14
 90.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       15
 30.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       16
 30.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       17
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       18
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       19
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       20
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       21
 30.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       22
 91.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       23
 30.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       24
 30.000 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       25
 28.750 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       26
  1.250 ns	0              	1            	1               	1               	1          	1                 	0                  	72                	3C                 	       27
